Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2016,2016-09-15,"2972,65",15,Septiembre,9
2016,2016-09-14,"2976,19",14,Septiembre,9
2016,2016-09-13,"2942,29",13,Septiembre,9
2016,2016-09-12,"2899,29",12,Septiembre,9
2016,2016-09-11,"2899,29",11,Septiembre,9
2016,2016-09-10,"2899,29",10,Septiembre,9
2016,2016-09-09,"2846,13",9,Septiembre,9
2016,2016-09-08,"2840,38",8,Septiembre,9
2016,2016-09-07,"2887,64",7,Septiembre,9
2016,2016-09-06,"2957,56",6,Septiembre,9
2016,2016-09-05,"2957,56",5,Septiembre,9
2016,2016-09-04,"2957,56",4,Septiembre,9
2016,2016-09-03,"2957,56",3,Septiembre,9
2016,2016-09-02,"2986,36",2,Septiembre,9
2016,2016-09-01,"2956,53",1,Septiembre,9
2016,2016-08-31,"2933,82",31,Agosto,8
2016,2016-08-30,"2924,29",30,Agosto,8
2016,2016-08-29,"2882,69",29,Agosto,8
2016,2016-08-28,"2882,69",28,Agosto,8
2016,2016-08-27,"2882,69",27,Agosto,8
2016,2016-08-26,"2915,67",26,Agosto,8
2016,2016-08-25,"2938,28",25,Agosto,8
2016,2016-08-24,"2909,1",24,Agosto,8
2016,2016-08-23,"2883,89",23,Agosto,8
2016,2016-08-22,"2867,37",22,Agosto,8
2016,2016-08-21,"2867,37",21,Agosto,8
2016,2016-08-20,"2867,37",20,Agosto,8
2016,2016-08-19,"2884,02",19,Agosto,8
2016,2016-08-18,"2918,07",18,Agosto,8
2016,2016-08-17,"2905,3",17,Agosto,8
2016,2016-08-16,"2908,67",16,Agosto,8
2016,2016-08-15,"2908,67",15,Agosto,8
2016,2016-08-14,"2908,67",14,Agosto,8
2016,2016-08-13,"2908,67",13,Agosto,8
2016,2016-08-12,"2911,26",12,Agosto,8
2016,2016-08-11,"2954,9",11,Agosto,8
2016,2016-08-10,"2974,31",10,Agosto,8
2016,2016-08-09,"2992,5",9,Agosto,8
2016,2016-08-08,"3052,8",8,Agosto,8
2016,2016-08-07,"3052,8",7,Agosto,8
2016,2016-08-06,"3052,8",6,Agosto,8
2016,2016-08-05,"3079,83",5,Agosto,8
2016,2016-08-04,"3110,43",4,Agosto,8
2016,2016-08-03,"3084,81",3,Agosto,8
2016,2016-08-02,"3090,28",2,Agosto,8
2016,2016-08-01,"3081,75",1,Agosto,8
2016,2016-07-31,"3081,75",31,Julio,7
2016,2016-07-30,"3081,75",30,Julio,7
2016,2016-07-29,"3091,78",29,Julio,7
2016,2016-07-28,"3073,52",28,Julio,7
2016,2016-07-27,"3055,15",27,Julio,7
2016,2016-07-26,"2997,25",26,Julio,7
2016,2016-07-25,"2942,65",25,Julio,7
2016,2016-07-24,"2942,65",24,Julio,7
2016,2016-07-23,"2942,65",23,Julio,7
2016,2016-07-22,"2928,67",22,Julio,7
2016,2016-07-21,"2931,08",21,Julio,7
2016,2016-07-20,"2931,08",20,Julio,7
2016,2016-07-19,"2928,3",19,Julio,7
2016,2016-07-18,"2923,46",18,Julio,7
2016,2016-07-17,"2923,46",17,Julio,7
2016,2016-07-16,"2923,46",16,Julio,7
2016,2016-07-15,"2923,07",15,Julio,7
2016,2016-07-14,"2936,53",14,Julio,7
2016,2016-07-13,"2911,91",13,Julio,7
2016,2016-07-12,"2929,81",12,Julio,7
2016,2016-07-11,"2952,64",11,Julio,7
2016,2016-07-10,"2952,64",10,Julio,7
2016,2016-07-09,"2952,64",9,Julio,7
2016,2016-07-08,"2986,49",8,Julio,7
2016,2016-07-07,"3003,2",7,Julio,7
2016,2016-07-06,"2966,87",6,Julio,7
2016,2016-07-05,"2914,38",5,Julio,7
2016,2016-07-04,"2914,38",4,Julio,7
2016,2016-07-03,"2914,38",3,Julio,7
2016,2016-07-02,"2914,38",2,Julio,7
2016,2016-07-01,"2919,01",1,Julio,7
2016,2016-06-30,"2916,15",30,Junio,6
2016,2016-06-29,"3005,18",29,Junio,6
2016,2016-06-28,"3022,78",28,Junio,6
2016,2016-06-27,"2972,92",27,Junio,6
2016,2016-06-26,"2972,92",26,Junio,6
2016,2016-06-25,"2972,92",25,Junio,6
2016,2016-06-24,"2897,53",24,Junio,6
2016,2016-06-23,"2944,06",23,Junio,6
2016,2016-06-22,"2976,29",22,Junio,6
2016,2016-06-21,"2972,97",21,Junio,6
2016,2016-06-20,"3010,91",20,Junio,6
2016,2016-06-19,"3010,91",19,Junio,6
2016,2016-06-18,"3010,91",18,Junio,6
2016,2016-06-17,"3019,12",17,Junio,6
2016,2016-06-16,"2989,56",16,Junio,6
2016,2016-06-15,"3003,28",15,Junio,6
2016,2016-06-14,"2990,35",14,Junio,6
2016,2016-06-13,"2969,83",13,Junio,6
2016,2016-06-12,"2969,83",12,Junio,6
2016,2016-06-11,"2969,83",11,Junio,6
2016,2016-06-10,"2942,13",10,Junio,6
2016,2016-06-09,"2905,23",9,Junio,6
2016,2016-06-08,"2950,95",8,Junio,6
2016,2016-06-07,"3017,71",7,Junio,6
2016,2016-06-06,"3017,71",6,Junio,6
2016,2016-06-05,"3017,71",5,Junio,6
2016,2016-06-04,"3017,71",4,Junio,6
2016,2016-06-03,"3110,88",3,Junio,6
2016,2016-06-02,"3117,83",2,Junio,6
2016,2016-06-01,"3089,65",1,Junio,6
2016,2016-05-31,"3069,17",31,Mayo,5
2016,2016-05-30,"3069,17",30,Mayo,5
2016,2016-05-29,"3069,17",29,Mayo,5
2016,2016-05-28,"3069,17",28,Mayo,5
2016,2016-05-27,"3054,6",27,Mayo,5
2016,2016-05-26,"3061,89",26,Mayo,5
